nftables 1:1.1.1-2
nitrogen 1.6.1-6
nmap 7.95-1
node-gyp 11.1.0-3
nodejs 23.9.0-1
nodejs-nopt 7.2.1-1
nordvpn-bin 3.17.2-1
npm 11.2.0-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
ntfs-3g 2022.10.3-1
numactl 2.0.19-1
nvidia-utils 570.124.04-1
nvm 0.40.2-3
ocl-icd 2.3.2-2
onetbb 2022.0.0-2
oniguruma 6.9.10-1
openal 1.24.2-1
opencore-amr 0.1.6-2
openexr 3.3.2-1
openjpeg2 2.5.3-1
openmpi 5.0.7-2
openpmix 5.0.6-1
openscenegraph 3.6.5-26
openssh 9.9p2-1
openssl 3.4.1-1
openucx 1.18.0-2
openxr 1.1.43-1
optipng 0.7.8-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
os-prober 1.83-1
ostree 2025.1-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-mirrorlist 20250311-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.1-1
perl 5.40.1-2
perl-cgi 4.67-1
perl-clone 0.47-1
perl-config-general 2.67-1
perl-config-simple 4.59-18
perl-dbi 1.647-1
perl-email-date-format 1.008-4
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-http-server-simple 0.52-6
perl-io-html 1.004-6
perl-lchown 1.01-17
perl-libwww 6.78-1
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-mime-lite 3.033-5
perl-mime-types 2.27-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.47-2
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-sax-expat 0.51-8
perl-xml-simple 2.25-10
php 8.4.5-1
php-cgi 8.4.5-1
pikaur 1.18.3-1
pinentry 1.3.1-5
pipewire 1:1.4.1-1
pixman 0.44.2-1
pkgconf 2.3.0-1
pnpm 10.6.5-1
podofo 0.10.3-1
polkit 126-2
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 25.03.0-1
poppler-data 0.4.12-2
poppler-glib 25.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.4-2
portsmf 234-3
postgresql 17.2-3
postgresql-libs 17.2-3
ppp 2.5.2-1
procps-ng 4.0.5-2
protobuf 30.0-3
prrte 3.0.8-1
prusa-slicer 2.9.1-1
psmisc 23.7-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-qt 1.7.0-1
pulsemixer 1.5.1-7
pyalpm 0.10.10-2
python 3.13.2-1
python-annotated-types 0.7.0-2
python-apsw 3.49.1.0-1
python-argcomplete 3.5.3-1
python-async-timeout 4.0.3-6
python-asyncpg 0.30.0-3
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-beautifulsoup4 4.12.3-3
python-brotli 1.1.0-3
python-brotlicffi 1.1.0.0-3
python-bs4 0.0.1-8
python-build 1.2.2-3
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.1-1
python-click 8.1.8-1
python-colorama 0.4.6-5
python-crccheck 1.3.0-6
python-cryptography 44.0.2-1
python-css-parser 1.0.10-3
python-cssselect 1.2.0-8
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-decorator 5.1.1-5
python-deprecated 1.2.16-1
python-distro 1.9.0-3
python-dnspython 1:2.7.0-1
python-fastjsonschema 2.21.1-1
python-faust-cchardet 2.1.19-3
python-feedparser 6.0.11-3
python-filelock 3.18.0-1
python-gobject 3.50.0-2
python-gpgme 1.24.2-1
python-html2text 2024.2.26-2
python-html5-parser 0.4.12-3
python-html5lib 1.1-15
python-idna 3.10-2
python-ifaddr 0.2.0-6
python-importlib-metadata 7.2.1-4
python-inflate64 1.0.1-1
python-inflect 7.5.0-1
python-installer 0.7.0-10
python-isodate 0.7.2-1
python-jaconv 0.4.0-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-keyring 25.6.0-1
python-lxml 5.3.1-1
python-lxml-html-clean 0.2.0-2
python-magic 1:0.4.27-5
python-markdown 3.7-2
python-mechanize 1:0.4.10-2
python-more-itertools 10.6.0-1
python-msgpack 1.0.5-3
python-multivolumefile 0.2.3-9
python-netifaces 0.11.0-7
python-ordered-set 4.1.0-7
python-packaging 24.2-3
python-pdftotext 2.2.2-9
python-pefile 2024.8.26-1
python-pillow 11.1.0-1
python-pip 25.0.1-1
python-pipx 1.7.1-2
python-platformdirs 4.3.6-2
python-ply 3.11-14
python-prettytable 3.15.1-1
python-psutil 7.0.0-1
python-ptable-boxchar 243.eb76080-3
python-py7zr 0.22.0-4
python-pybcj 1.0.3-1
python-pychm 0.8.6-9
python-pycparser 2.22-3
python-pycryptodome 3.21.0-3
python-pycryptodomex 3.22.0-1
python-pydantic 2.10.6-1
python-pydantic-core 2:2.27.2-1
python-pygments 2.19.1-1
python-pykakasi 2.3.0-2
python-pyparsing 3.1.2-3
python-pyppmd 1.1.1-1
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pyqt6 6.8.1-1
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.8.0-2
python-pysocks 1.7.1-10
python-pyte 0.8.2-4
python-pywal 3.3.0-10
python-pyzstd 0.16.2-2
python-rdflib 7.1.1-2
python-regex 2024.11.6-2
python-requests 2.32.3-4
python-secretstorage 3.3.3-6
python-setuptools 1:75.8.0-1
python-setuptools-scm 8.2.0-1
python-sgmllib3k 1.0.0-7
python-six 1.17.0-1
python-soupsieve 2.6-2
python-termcolor 2.5.0-1
python-texttable 1.7.0-3
python-tomli 2.0.1-5
python-trove-classifiers 2025.3.3.18-1
python-typeguard 4.4.2-1
python-typing_extensions 4.12.2-3
python-unrardll 0.1.7-4
python-urllib3 2.3.0-1
python-userpath 1.9.2-3
python-validate-pyproject 0.24-1
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-wheel 0.45.0-3
python-wrapt 1.16.0-4
python-wxpython 1:4.2.2-2
python-xxhash 3.5.0-1
python-zeroconf 0.141.0-2
python-zipp 3.21.0-2
python-zstandard 0.23.0-2
python2 2.7.18-8
python312 3.12.1-2
qbittorrent 5.0.4-3
qca-qt5 2.3.10-1
qca-qt6 2.3.10-1
qdirstat-bin 1.8.1-1
qpwgraph 0.8.2-1
qqc2-desktop-style 6.12.0-1
qqc2-desktop-style5 5.116.1-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-graphicaleffects 5.15.16-3
qt5-multimedia 5.15.16+kde+r2-3
qt5-quickcontrols 5.15.16-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt5-speech 5.15.16+kde+r1-3
qt5-svg 5.15.16+kde+r5-3
